data family,legacy location,approximate record count,contains personal data,retention concern,current authority,future authority,migration action,transformation required,validation method,owner decision required,evidence reference,status
courses,exercises/<course>/ directories,2,no,Academic publication and version retention,Git directories and validated indexes,Git authored source; PostgreSQL for runtime publication settings,migrate in full,Preserve slugs and course-scoped identity; do not merge demo_course,Manifest course count and byte-identical regeneration,Academic owner decides demo_course publication and lifecycle,artifacts/legacy/content-manifest.v1.json; docs/evidence/content-authority-conflicts.md,owner-decision-required
exercise metadata,exercises/*/index.csv,110 rows,no,Academic provenance and correction history,Git index rows and canonical row hashes,Git,migrate in full,Preserve fields and course_slug:exercise_id; no ID normalization,Compare canonical row SHA-256 for all entries,Academic owner resolves duplicate intent and corrections,artifacts/legacy/content-manifest.v1.json; artifacts/legacy/content-issues.csv,decided-with-conflicts
exercise bodies,exercises/*/*.tex,110 files,no,Academic provenance and licensing,Git indexed TeX bytes and hashes,Git,migrate in full,Preserve exact bytes; resolve rendering separately; do not deduplicate,Compare all content SHA-256 and run browse journeys,Academic owner resolves duplicate hashes and renderer conflicts,artifacts/legacy/content-manifest.v1.json; docs/evidence/content-authority-conflicts.md,owner-decision-required
exercise images,tikzpics/,7 referenced images,no,Academic provenance and licensing,Git referenced assets and hashes,Git or Git-controlled artifact storage,migrate in full,Preserve canonical paths and bytes,Compare all 7 SHA-256 values and resolve every reference,Academic owner confirms licensing and publication,artifacts/legacy/content-assets.csv; docs/evidence/content-inventory.md,decided-pending-owner
Google identities,Google OAuth claims,unknown,yes,Identity eligibility and subject retention,Google at authentication time,Google authentication plus PostgreSQL external-subject link,reconstruct,Create link only after verified login; do not store tokens,OAuth checks and unique subject constraint,Institution decides eligible domains and lifecycle,docs/contracts/current-system-contract.md; services/identity.py,owner-decision-required
application users,models.user memory; identity claims,unknown,yes,User lifecycle access and deletion,No durable authority evidenced,PostgreSQL,migrate selectively; otherwise reconstruct,Provision verified Google subject and approved profile; never infer roles,Reconcile any later verified source and run login journey,Institution decides profile fields retention and activation,models/user.py; docs/contracts/known-legacy-deviations.md,evidence-gap
teacher roster,Firestore teachers,unknown,yes,Staff history contact data and stale authorization,Firestore historical evidence only,Institution staff authority; PostgreSQL only if later required,archive only,Do not import authorization; reconstruct future roles institutionally,Verified export count and proof no roster-derived roles,Institution decides retention and future roster need,docs/evidence/firestore-collection-map.md; docs/contracts/current-system-contract.md,owner-decision-required-evidence-gap
course memberships,No legacy source found,unknown,yes,Enrollment lifecycle and role audit,No current authority,Institution roster or policy represented in PostgreSQL,reconstruct,Create explicit course-role grants with issuer and effective dates,Institutional reconciliation and membership acceptance tests,Institution defines source roles and lifecycle,docs/contracts/current-system-contract.md; docs/contracts/known-legacy-deviations.md,unresolved
AI interaction records,Firestore interaction_records,unknown,yes,Free text identity lawful purpose and deletion,Firestore historical evidence,PostgreSQL for new records; encrypted archive for legacy,archive only by default; migrate selectively for approved de-identified analytics,De-identify and minimize; do not invent missing metadata,Complete export count and approved aggregate reconciliation,Institution and privacy owner decide retention and analytics,docs/evidence/firestore-data-profile.md; docs/contracts/user-journeys.md,owner-decision-required-evidence-gap
AI responses,Firestore interaction_records.aiResponse and user_feedback.evaluated_response,unknown,yes,Model output may repeat sensitive input,Firestore historical evidence,PostgreSQL for new records; encrypted archive for legacy,archive only by default; migrate selectively for approved de-identified analytics,Link only where evidenced; quarantine ambiguity; keep missing metadata unknown,Complete export profile and linkage reconciliation,Institution privacy and academic owners decide retention and use,docs/evidence/firestore-data-profile.md; docs/contracts/failure-semantics.md,owner-decision-required-evidence-gap
